Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,23.05,23.05,22.80,22.86,869000,22.86
2015-12-30,23.04,23.29,22.90,23.05,702100,23.05
2015-12-29,23.11,23.13,22.92,23.04,1458600,23.04
2015-12-28,23.10,23.20,22.92,23.01,1133400,23.01
2015-12-25,23.22,23.22,23.22,23.22,000,23.22
2015-12-24,23.10,23.37,23.10,23.22,136000,23.22
2015-12-23,23.10,23.33,23.10,23.10,514800,23.10
2015-12-22,23.44,23.44,22.87,23.07,1347600,23.07
2015-12-21,23.67,23.67,23.14,23.53,860500,23.53
2015-12-18,23.80,23.89,23.60,23.69,1414600,23.69
2015-12-17,22.88,24.00,22.88,23.67,4543000,23.67
2015-12-16,23.16,23.35,22.60,22.78,1650700,22.78
2015-12-15,23.00,23.47,22.90,23.16,3496400,23.16
2015-12-14,23.00,23.00,22.55,22.80,957800,22.80
2015-12-11,22.92,23.33,22.51,22.67,3340200,22.67
2015-12-10,23.20,23.39,22.84,22.92,1037700,22.92
2015-12-09,22.93,23.49,22.93,23.19,1061900,23.19
2015-12-08,23.30,23.49,22.51,22.93,2344200,22.93
2015-12-07,23.19,23.49,23.00,23.30,2672700,23.30
2015-12-04,23.21,23.54,23.00,23.18,2313600,23.18
2015-12-03,23.50,23.90,23.00,23.24,2490600,23.24
2015-12-02,23.56,24.12,23.00,23.49,2937800,23.49
2015-12-01,24.00,24.32,23.20,23.56,3420700,23.56
2015-11-30,25.22,25.41,23.67,23.90,4675400,23.90
2015-11-27,25.74,25.74,24.93,25.21,1708400,25.21
2015-11-26,26.10,26.10,25.66,25.74,65100,25.74
2015-11-25,25.82,26.20,25.53,26.10,644200,26.10
2015-11-24,25.72,25.87,25.10,25.81,775900,25.81
2015-11-23,25.76,25.87,25.65,25.77,695900,25.77
2015-11-20,25.38,25.88,25.35,25.75,2946100,25.75
2015-11-19,25.45,25.67,25.21,25.38,5186200,25.38
2015-11-18,25.40,25.75,24.90,25.07,1607500,25.07
2015-11-17,26.18,26.26,25.17,25.39,2620900,25.39
2015-11-16,26.08,26.08,26.08,26.08,000,26.08
2015-11-13,26.76,26.90,26.00,26.08,2392800,26.08
2015-11-12,26.74,27.30,26.74,26.79,2269100,26.79
2015-11-11,27.05,27.30,26.61,26.70,452500,26.70
2015-11-10,27.10,27.44,26.98,27.03,1001300,27.03
2015-11-09,27.15,27.28,26.71,27.09,1625400,27.09
2015-11-06,26.87,27.27,26.80,27.14,1391200,27.14
2015-11-05,27.02,27.22,26.79,27.09,282000,27.09
2015-11-04,27.26,27.70,26.80,26.97,1601400,26.97
2015-11-03,27.50,27.94,27.37,27.57,1355400,27.57
2015-11-02,27.53,27.53,27.53,27.53,000,27.53
2015-10-30,28.51,28.51,27.01,27.53,2552700,27.53
2015-10-29,28.25,28.60,28.20,28.49,1565700,28.49
2015-10-28,28.33,28.49,27.81,28.24,950400,28.24
2015-10-27,28.60,28.60,28.18,28.32,617100,28.32
2015-10-26,28.25,28.61,28.25,28.55,788400,28.55
2015-10-23,28.42,28.42,28.04,28.23,1025800,28.23
2015-10-22,27.97,28.59,27.94,28.42,1265900,28.42
2015-10-21,28.40,28.50,27.80,28.40,1380800,28.40
2015-10-20,28.02,28.10,27.85,28.09,1396300,28.09
2015-10-19,28.00,28.07,27.76,27.92,993100,27.92
2015-10-16,27.73,28.44,27.70,28.32,2210800,28.32
2015-10-15,27.48,27.90,27.28,27.75,2360500,27.75
2015-10-14,27.12,27.54,26.84,27.46,1456100,27.46
2015-10-13,26.42,27.22,26.42,27.12,1272400,27.12
2015-10-12,26.66,26.80,26.25,26.41,1783400,26.41
2015-10-09,26.46,26.84,26.02,26.56,2073400,26.56
2015-10-08,26.88,26.88,26.08,26.46,1915500,26.46
2015-10-07,27.42,27.94,26.49,26.53,1369100,26.53
2015-10-06,27.27,27.64,26.86,27.42,540900,27.42
2015-10-05,26.64,27.34,26.64,27.26,443100,27.26
2015-10-02,25.91,26.79,25.91,26.63,455800,26.63
2015-10-01,26.61,26.80,25.88,25.97,1411200,25.97
2015-09-30,26.31,26.60,26.31,26.51,1438700,26.51
2015-09-29,26.41,26.87,26.16,26.21,1325800,26.21
2015-09-28,26.58,26.73,26.15,26.41,4069700,26.41
2015-09-25,26.39,27.05,26.26,26.87,954000,26.87
2015-09-24,26.99,27.00,25.86,26.36,1504600,26.36
2015-09-23,26.90,27.07,26.75,26.93,860500,26.93
2015-09-22,27.06,27.17,26.61,26.88,768500,26.88
2015-09-21,27.08,27.10,26.65,26.86,808600,26.86
2015-09-18,27.02,27.34,26.51,27.08,1234800,27.08
2015-09-17,27.22,27.36,27.00,27.02,1416800,27.02
2015-09-16,27.30,27.30,27.30,27.30,000,27.30
2015-09-15,26.58,27.33,26.20,27.30,853000,27.30
2015-09-14,26.12,26.75,26.10,26.58,288000,26.58
2015-09-11,26.38,26.45,26.07,26.11,400700,26.11
2015-09-10,26.50,26.70,26.15,26.45,601400,26.45
2015-09-09,26.60,26.76,26.39,26.49,665900,26.49
2015-09-08,26.30,26.69,26.20,26.59,1012600,26.59
2015-09-07,25.90,26.30,25.90,26.18,103200,26.18
2015-09-04,25.79,26.00,25.59,25.90,1082300,25.90
2015-09-03,25.30,26.05,25.30,25.79,1412400,25.79
2015-09-02,25.23,25.78,25.10,25.67,1386200,25.67
2015-09-01,25.33,25.83,24.94,25.33,1498300,25.33
2015-08-31,25.32,26.49,24.74,25.33,13096000,25.33
2015-08-28,26.00,26.05,25.30,25.44,1661800,25.44
2015-08-27,25.21,25.91,25.09,25.72,1864500,25.72
2015-08-26,25.40,25.74,25.00,25.17,2343000,25.17
2015-08-25,25.75,26.99,25.16,25.34,1540000,25.34
2015-08-24,26.00,26.97,22.92,25.60,2314000,25.60
2015-08-21,26.99,26.99,26.00,26.07,1308700,26.07
2015-08-20,26.89,27.10,26.70,27.00,1529600,27.00
2015-08-19,27.50,27.64,26.55,26.99,1126900,26.99
2015-08-18,27.54,27.70,27.15,27.20,2775800,27.20
2015-08-17,27.53,27.86,27.48,27.52,2682900,27.52
2015-08-14,27.32,27.69,27.32,27.52,1126400,27.52
2015-08-13,28.20,28.24,27.19,27.30,4327400,27.30
2015-08-12,29.37,29.37,28.11,28.56,965300,28.56
2015-08-11,29.47,29.50,29.19,29.37,362000,29.37
2015-08-10,29.28,29.82,28.51,29.49,529200,29.49
2015-08-07,28.81,29.25,28.71,29.18,490300,29.18
2015-08-06,29.00,29.12,28.70,28.81,336300,28.81
2015-08-05,29.24,29.54,28.79,29.00,1071500,29.00
2015-08-04,29.60,29.75,29.08,29.23,372500,29.23
2015-08-03,28.93,29.62,28.93,29.60,613500,29.60
2015-07-31,28.76,29.21,28.61,28.92,869200,28.92
2015-07-30,29.07,29.14,28.48,28.74,410800,28.74
2015-07-29,28.16,29.20,28.10,29.07,1661600,29.07
2015-07-28,28.64,29.33,28.00,28.16,1232700,28.16
2015-07-27,29.04,29.53,28.00,28.62,1311500,28.62
2015-07-24,29.81,30.20,28.92,29.04,904900,29.04
2015-07-23,30.16,30.20,29.28,29.80,690300,29.80
2015-07-22,29.95,30.33,29.09,30.16,3585000,30.16
2015-07-21,29.21,29.71,29.05,29.58,857300,29.58
2015-07-20,28.84,29.49,28.79,29.20,1055600,29.20
2015-07-17,28.85,28.94,28.69,28.74,206400,28.74
2015-07-16,28.62,29.05,28.62,28.85,1014800,28.85
2015-07-15,28.87,29.11,28.36,28.61,1519400,28.61
2015-07-14,28.20,28.96,28.07,28.88,3196600,28.88
2015-07-13,28.63,28.90,28.11,28.28,714100,28.28
2015-07-10,28.25,28.88,28.25,28.63,606500,28.63
2015-07-09,28.46,28.96,28.06,28.11,574500,28.11
2015-07-08,28.67,28.90,28.26,28.36,898200,28.36
2015-07-07,28.25,28.95,28.10,28.67,926000,28.67
2015-07-06,28.68,28.68,28.15,28.21,547600,28.21
2015-07-03,28.37,29.05,28.37,28.89,434200,28.89
2015-07-02,27.93,28.45,27.85,28.36,622900,28.36
2015-07-01,27.62,28.02,27.20,27.92,1055000,27.92
2015-06-30,27.96,27.96,27.10,27.18,1372000,27.18
2015-06-29,28.32,28.39,27.74,27.96,656200,27.96
2015-06-26,27.60,28.50,27.54,28.34,1581900,28.34
2015-06-25,28.32,28.32,27.53,27.69,1260600,27.69
2015-06-24,28.06,28.33,27.94,28.09,1072200,28.09
2015-06-23,27.96,28.30,27.80,28.19,873600,28.19
2015-06-22,27.95,28.10,27.78,27.95,1305800,27.95
2015-06-19,27.82,28.10,27.38,27.96,1870900,27.96
2015-06-18,27.82,28.10,27.73,27.81,607300,27.81
2015-06-17,27.82,27.98,27.41,27.77,1105400,27.77
2015-06-16,27.78,27.98,27.60,27.81,1035000,27.81
2015-06-15,27.84,27.97,27.32,27.76,1190700,27.76
2015-06-12,27.63,27.84,27.42,27.74,2637900,27.74
2015-06-11,27.25,27.80,27.15,27.72,900400,27.72
2015-06-10,27.13,27.20,26.85,27.17,984700,27.17
2015-06-09,27.32,27.32,26.95,27.12,960900,27.12
2015-06-08,26.96,27.33,26.86,27.18,1011300,27.18
