Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.42865,1.42865,1.42865,1.42865,000,1.42865
2015-12-30,1.42971,1.42971,1.42971,1.42971,000,1.42971
2015-12-29,1.4306,1.4306,1.4306,1.4306,000,1.4306
2015-12-28,1.43128,1.43128,1.43128,1.43128,000,1.43128
2015-12-24,1.43205,1.43205,1.43205,1.43205,000,1.43205
2015-12-23,1.42904,1.42904,1.42904,1.42904,000,1.42904
2015-12-22,1.41678,1.41678,1.41678,1.41678,000,1.41678
2015-12-21,1.42447,1.42447,1.42447,1.42447,000,1.42447
2015-12-18,1.4393,1.4393,1.4393,1.4393,000,1.4393
2015-12-17,1.43206,1.43206,1.43206,1.43206,000,1.43206
2015-12-16,1.41455,1.41455,1.41455,1.41455,000,1.41455
2015-12-15,1.38837,1.38837,1.38837,1.38837,000,1.38837
2015-12-14,1.39066,1.39066,1.39066,1.39066,000,1.39066
2015-12-11,1.40459,1.40459,1.40459,1.40459,000,1.40459
2015-12-09,1.4104,1.4104,1.4104,1.4104,000,1.4104
2015-12-08,1.42142,1.42142,1.42142,1.42142,000,1.42142
2015-12-07,1.41994,1.41994,1.41994,1.41994,000,1.41994
2015-12-04,1.4146,1.4146,1.4146,1.4146,000,1.4146
2015-12-03,1.42109,1.42109,1.42109,1.42109,000,1.42109
2015-12-02,1.43283,1.43283,1.43283,1.43283,000,1.43283
2015-12-01,1.4143,1.4143,1.4143,1.4143,000,1.4143
2015-11-30,1.43392,1.43392,1.43392,1.43392,000,1.43392
