Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.82718,2.82718,2.82718,2.82718,000,2.82718
2015-12-30,2.82533,2.82533,2.82533,2.82533,000,2.82533
2015-12-29,2.82327,2.82327,2.82327,2.82327,000,2.82327
2015-12-28,2.8248,2.8248,2.8248,2.8248,000,2.8248
2015-12-24,2.82137,2.82137,2.82137,2.82137,000,2.82137
2015-12-23,2.81775,2.81775,2.81775,2.81775,000,2.81775
2015-12-22,2.81634,2.81634,2.81634,2.81634,000,2.81634
2015-12-21,2.81588,2.81588,2.81588,2.81588,000,2.81588
2015-12-18,2.82013,2.82013,2.82013,2.82013,000,2.82013
2015-12-17,2.82087,2.82087,2.82087,2.82087,000,2.82087
2015-12-16,2.81254,2.81254,2.81254,2.81254,000,2.81254
2015-12-15,2.81181,2.81181,2.81181,2.81181,000,2.81181
2015-12-14,2.81598,2.81598,2.81598,2.81598,000,2.81598
2015-12-11,2.81586,2.81586,2.81586,2.81586,000,2.81586
2015-12-09,2.81894,2.81894,2.81894,2.81894,000,2.81894
2015-12-08,2.82123,2.82123,2.82123,2.82123,000,2.82123
2015-12-07,2.81528,2.81528,2.81528,2.81528,000,2.81528
2015-12-04,2.81753,2.81753,2.81753,2.81753,000,2.81753
2015-12-03,2.81862,2.81862,2.81862,2.81862,000,2.81862
2015-12-02,2.81805,2.81805,2.81805,2.81805,000,2.81805
2015-12-01,2.81689,2.81689,2.81689,2.81689,000,2.81689
2015-11-30,2.81748,2.81748,2.81748,2.81748,000,2.81748
