Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.69954,2.69954,2.69954,2.69954,000,2.69954
2015-12-30,2.71197,2.71197,2.71197,2.71197,000,2.71197
2015-12-29,2.71331,2.71331,2.71331,2.71331,000,2.71331
2015-12-28,2.72586,2.72586,2.72586,2.72586,000,2.72586
2015-12-24,2.72788,2.72788,2.72788,2.72788,000,2.72788
2015-12-23,2.70335,2.70335,2.70335,2.70335,000,2.70335
2015-12-22,2.68467,2.68467,2.68467,2.68467,000,2.68467
2015-12-21,2.68768,2.68768,2.68768,2.68768,000,2.68768
2015-12-18,2.71876,2.71876,2.71876,2.71876,000,2.71876
2015-12-17,2.70507,2.70507,2.70507,2.70507,000,2.70507
2015-12-16,2.67328,2.67328,2.67328,2.67328,000,2.67328
2015-12-15,2.62432,2.62432,2.62432,2.62432,000,2.62432
2015-12-14,2.62981,2.62981,2.62981,2.62981,000,2.62981
2015-12-11,2.6637,2.6637,2.6637,2.6637,000,2.6637
2015-12-09,2.65888,2.65888,2.65888,2.65888,000,2.65888
2015-12-08,2.68386,2.68386,2.68386,2.68386,000,2.68386
2015-12-07,2.69661,2.69661,2.69661,2.69661,000,2.69661
2015-12-04,2.69487,2.69487,2.69487,2.69487,000,2.69487
2015-12-03,2.71705,2.71705,2.71705,2.71705,000,2.71705
2015-12-02,2.74926,2.74926,2.74926,2.74926,000,2.74926
2015-12-01,2.71984,2.71984,2.71984,2.71984,000,2.71984
2015-11-30,2.75668,2.75668,2.75668,2.75668,000,2.75668
2015-11-27,2.76321,2.76321,2.76321,2.76321,000,2.76321
