Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,6.58953,6.58953,6.58953,6.58953,000,6.58953
2015-12-30,6.6483,6.6483,6.6483,6.6483,000,6.6483
2015-12-29,6.64981,6.64981,6.64981,6.64981,000,6.64981
2015-12-28,6.67005,6.67005,6.67005,6.67005,000,6.67005
2015-12-24,6.68082,6.68082,6.68082,6.68082,000,6.68082
2015-12-23,6.64302,6.64302,6.64302,6.64302,000,6.64302
2015-12-22,6.61798,6.61798,6.61798,6.61798,000,6.61798
2015-12-21,6.58478,6.58478,6.58478,6.58478,000,6.58478
2015-12-18,6.6732,6.6732,6.6732,6.6732,000,6.6732
2015-12-17,6.66014,6.66014,6.66014,6.66014,000,6.66014
2015-12-16,6.58111,6.58111,6.58111,6.58111,000,6.58111
2015-12-15,6.4285,6.4285,6.4285,6.4285,000,6.4285
2015-12-14,6.44395,6.44395,6.44395,6.44395,000,6.44395
2015-12-11,6.51443,6.51443,6.51443,6.51443,000,6.51443
2015-12-09,6.48364,6.48364,6.48364,6.48364,000,6.48364
2015-12-08,6.54841,6.54841,6.54841,6.54841,000,6.54841
2015-12-07,6.60055,6.60055,6.60055,6.60055,000,6.60055
2015-12-04,6.60782,6.60782,6.60782,6.60782,000,6.60782
2015-12-03,6.66792,6.66792,6.66792,6.66792,000,6.66792
2015-12-02,6.75566,6.75566,6.75566,6.75566,000,6.75566
2015-12-01,6.67055,6.67055,6.67055,6.67055,000,6.67055
2015-11-30,6.79656,6.79656,6.79656,6.79656,000,6.79656
