"a_index","b_date","c_rate"
"CETES_364D","1990-11-15",24.41
"CETES_364D","1990-11-22",25.02
"CETES_364D","1990-11-29",24.69
"CETES_364D","1990-12-06",25.64
"CETES_364D","1990-12-13",25.37
"CETES_364D","1990-12-20",25.01
"CETES_364D","1990-12-27",24.51
"CETES_364D","1991-01-03",24.26
"CETES_364D","1991-01-10",24.26
"CETES_364D","1991-01-17",24.69
"CETES_364D","1991-01-31",25.24
"CETES_364D","1991-02-14",24.69
"CETES_364D","1991-02-28",24.1
"CETES_364D","1991-03-14",22.83
"CETES_364D","1991-03-27",23.0
"CETES_364D","1991-04-11",21.95
"CETES_364D","1991-04-25",21.9
"CETES_364D","1991-05-02",22.0
"CETES_364D","1991-05-16",20.01
"CETES_364D","1991-05-30",18.16
"CETES_364D","1991-06-13",18.65
"CETES_364D","1991-06-27",18.38
"CETES_364D","1991-07-11",18.38
"CETES_364D","1991-07-25",18.38
"CETES_364D","1991-08-01",17.89
"CETES_364D","1991-08-15",17.6
"CETES_364D","1991-08-29",17.17
"CETES_364D","1991-09-12",17.95
"CETES_364D","1991-10-10",17.72
"CETES_364D","1991-10-17",17.27
"CETES_364D","1991-10-24",17.09
"CETES_364D","1991-10-31",16.91
"CETES_364D","1991-11-07",16.69
"CETES_364D","1991-11-14",16.43
"CETES_364D","1991-11-28",16.73
"CETES_364D","1991-12-11",16.47
"CETES_364D","1991-12-26",16.24
"CETES_364D","1992-01-02",15.9
"CETES_364D","1992-01-16",15.51
"CETES_364D","1992-02-06",15.59
"CETES_364D","1992-02-20",14.94
"CETES_364D","1992-03-05",12.97
"CETES_364D","1992-03-26",11.75
"CETES_364D","1992-04-15",11.75
"CETES_364D","1992-04-23",11.75
"CETES_364D","1992-04-30",11.95
"CETES_364D","1992-05-14",12.77
"CETES_364D","1992-05-28",13.21
"CETES_364D","1992-06-04",13.14
"CETES_364D","1992-06-11",13.62
"CETES_364D","1992-06-25",16.5
"CETES_364D","1992-07-09",16.0
"CETES_364D","1992-07-16",16.5
"CETES_364D","1992-07-23",16.5
"CETES_364D","1992-07-30",17.0
"CETES_364D","1992-08-06",18.0
"CETES_364D","1992-08-13",17.9
"CETES_364D","1992-08-20",17.9
"CETES_364D","1992-08-27",18.0
"CETES_364D","1992-09-03",18.49
"CETES_364D","1992-09-10",19.5
"CETES_364D","1992-09-17",19.51
"CETES_364D","1992-09-24",19.52
"CETES_364D","1992-10-01",19.52
"CETES_364D","1992-10-08",19.24
"CETES_364D","1992-10-15",19.6
"CETES_364D","1992-10-22",19.1
"CETES_364D","1992-10-29",19.24
"CETES_364D","1992-11-05",19.14
"CETES_364D","1992-11-12",18.63
"CETES_364D","1992-11-19",18.39
"CETES_364D","1992-11-26",18.63
"CETES_364D","1992-12-03",18.49
"CETES_364D","1992-12-10",18.75
"CETES_364D","1992-12-17",19.0
"CETES_364D","1992-12-24",19.05
"CETES_364D","1992-12-30",19.5
"CETES_364D","1993-01-07",19.0
"CETES_364D","1993-01-14",18.95
"CETES_364D","1993-01-21",18.85
"CETES_364D","1993-01-28",19.17
"CETES_364D","1993-02-04",19.44
"CETES_364D","1993-02-11",19.69
"CETES_364D","1993-02-18",19.86
"CETES_364D","1993-02-25",19.9
"CETES_364D","1993-03-04",19.6
"CETES_364D","1993-03-11",18.89
"CETES_364D","1993-03-18",18.59
"CETES_364D","1993-03-25",18.28
"CETES_364D","1993-04-01",17.12
"CETES_364D","1993-04-07",17.29
"CETES_364D","1993-04-15",17.42
"CETES_364D","1993-04-22",17.38
"CETES_364D","1993-04-29",16.58
"CETES_364D","1993-05-06",16.5
"CETES_364D","1993-05-13",16.79
"CETES_364D","1993-05-20",16.9
"CETES_364D","1993-05-27",16.76
"CETES_364D","1993-06-03",16.79
"CETES_364D","1993-06-10",16.72
"CETES_364D","1993-06-17",16.31
"CETES_364D","1993-06-24",15.97
"CETES_364D","1993-07-01",15.01
"CETES_364D","1993-07-08",15.15
"CETES_364D","1993-07-15",14.9
"CETES_364D","1993-07-22",14.43
"CETES_364D","1993-07-29",14.2
"CETES_364D","1993-08-05",14.26
"CETES_364D","1993-08-12",14.37
"CETES_364D","1993-08-19",13.98
"CETES_364D","1993-08-26",13.35
"CETES_364D","1993-09-02",13.24
"CETES_364D","1993-09-09",12.99
"CETES_364D","1993-09-15",13.2
"CETES_364D","1993-09-23",13.58
"CETES_364D","1993-09-30",14.05
"CETES_364D","1993-10-07",13.61
"CETES_364D","1993-10-14",13.81
"CETES_364D","1993-10-21",12.81
"CETES_364D","1993-10-28",12.57
"CETES_364D","1993-11-04",12.33
"CETES_364D","1993-11-11",13.37
"CETES_364D","1993-11-18",12.15
"CETES_364D","1993-11-25",11.61
"CETES_364D","1993-12-02",11.83
"CETES_364D","1993-12-09",11.57
"CETES_364D","1993-12-16",10.85
"CETES_364D","1993-12-23",10.46
"CETES_364D","1993-12-30",10.45
"CETES_364D","1994-01-06",10.41
"CETES_364D","1994-01-13",10.74
"CETES_364D","1994-01-20",10.66
"CETES_364D","1994-01-27",11.08
"CETES_364D","1994-02-03",10.82
"CETES_364D","1994-02-10",10.61
"CETES_364D","1994-02-17",10.24
"CETES_364D","1994-02-24",10.46
"CETES_364D","1994-03-03",10.77
"CETES_364D","1994-03-10",10.99
"CETES_364D","1994-03-17",11.71
"CETES_364D","1994-03-24",11.32
"CETES_364D","1994-03-30",12.04
"CETES_364D","1994-04-07",13.66
"CETES_364D","1994-04-14",14.41
"CETES_364D","1994-04-21",16.83
"CETES_364D","1994-04-28",15.74
"CETES_364D","1994-05-04",16.78
"CETES_364D","1994-05-19",16.55
"CETES_364D","1994-05-26",15.89
"CETES_364D","1994-06-02",15.49
"CETES_364D","1994-06-09",15.29
"CETES_364D","1994-06-16",15.58
"CETES_364D","1994-06-23",15.8
"CETES_364D","1994-06-30",15.71
"CETES_364D","1994-07-07",16.0
"CETES_364D","1994-07-14",16.74
"CETES_364D","1994-07-21",16.74
"CETES_364D","1994-07-28",15.85
"CETES_364D","1994-08-04",14.39
"CETES_364D","1994-08-11",13.85
"CETES_364D","1994-08-18",12.95
"CETES_364D","1994-08-25",12.43
"CETES_364D","1994-09-01",13.18
"CETES_364D","1994-09-08",13.64
"CETES_364D","1994-09-15",13.97
"CETES_364D","1994-09-22",13.41
"CETES_364D","1994-09-29",12.74
"CETES_364D","1994-10-06",13.15
"CETES_364D","1994-10-13",13.51
"CETES_364D","1994-10-20",13.86
"CETES_364D","1994-10-27",13.98
"CETES_364D","1994-11-03",14.04
"CETES_364D","1994-11-10",13.85
"CETES_364D","1994-11-17",14.33
"CETES_364D","1994-11-24",14.61
"CETES_364D","1994-11-30",14.56
"CETES_364D","1994-12-08",14.56
"CETES_364D","1994-12-15",14.97
"CETES_364D","1994-12-22",15.84
"CETES_364D","1995-01-12",32.99
"CETES_364D","1995-01-19",38.51
"CETES_364D","1995-01-26",34.94
"CETES_364D","1995-02-02",29.99
"CETES_364D","1995-02-09",31.79
"CETES_364D","1995-02-16",35.99
"CETES_364D","1995-02-23",46.98
"CETES_364D","1995-03-02",45.99
"CETES_364D","1995-03-09",50.04
"CETES_364D","1995-07-20",36.72
"CETES_364D","1995-07-27",37.5
"CETES_364D","1995-08-03",36.29
"CETES_364D","1995-08-10",36.11
"CETES_364D","1995-08-17",36.41
"CETES_364D","1995-08-24",36.71
"CETES_364D","1995-08-31",37.48
"CETES_364D","1995-09-07",36.89
"CETES_364D","1995-09-14",35.88
"CETES_364D","1995-09-21",34.8
"CETES_364D","1995-09-28",36.87
"CETES_364D","1995-10-05",40.43
"CETES_364D","1996-01-04",41.9
"CETES_364D","1996-01-11",40.39
"CETES_364D","1996-01-18",40.46
"CETES_364D","1996-01-25",40.03
"CETES_364D","1996-02-01",40.61
"CETES_364D","1996-02-08",41.42
"CETES_364D","1996-02-15",43.17
"CETES_364D","1996-02-22",44.36
"CETES_364D","1996-02-29",44.3
"CETES_364D","1996-03-07",45.47
"CETES_364D","1996-03-14",45.54
"CETES_364D","1996-03-20",42.52
"CETES_364D","1996-03-28",40.65
"CETES_364D","1996-04-03",39.28
"CETES_364D","1996-04-11",39.81
"CETES_364D","1996-04-18",36.3
"CETES_364D","1996-04-25",36.26
"CETES_364D","1996-05-02",36.86
"CETES_364D","1996-05-09",36.21
"CETES_364D","1996-05-16",33.77
"CETES_364D","1996-05-23",32.91
"CETES_364D","1996-05-30",31.72
"CETES_364D","1996-06-06",32.98
"CETES_364D","1996-06-13",34.06
"CETES_364D","1996-06-20",33.24
"CETES_364D","1996-06-27",33.37
"CETES_364D","1996-07-04",34.11
"CETES_364D","1996-07-11",34.83
"CETES_364D","1996-07-18",35.48
"CETES_364D","1996-07-25",34.3
"CETES_364D","1996-08-01",35.4
"CETES_364D","1996-08-08",32.75
"CETES_364D","1996-08-15",32.7
"CETES_364D","1996-08-22",31.0
"CETES_364D","1996-08-29",30.94
"CETES_364D","1996-09-05",32.43
"CETES_364D","1996-09-12",30.93
"CETES_364D","1996-09-19",29.18
"CETES_364D","1996-09-26",28.03
"CETES_364D","1996-10-03",27.39
"CETES_364D","1996-10-10",26.83
"CETES_364D","1996-10-17",28.65
"CETES_364D","1996-10-24",28.41
"CETES_364D","1996-10-31",28.63
"CETES_364D","1996-11-07",27.15
"CETES_364D","1996-11-14",27.12
"CETES_364D","1996-11-21",26.74
"CETES_364D","1996-11-28",26.5
"CETES_364D","1996-12-05",25.46
"CETES_364D","1996-12-11",25.59
"CETES_364D","1996-12-19",25.68
"CETES_364D","1996-12-26",25.75
"CETES_364D","1997-01-02",25.98
"CETES_364D","1997-01-09",26.0
"CETES_364D","1997-01-16",25.54
"CETES_364D","1997-01-23",25.86
"CETES_364D","1997-01-30",25.68
"CETES_364D","1997-02-06",25.3
"CETES_364D","1997-02-13",23.99
"CETES_364D","1997-02-20",23.4
"CETES_364D","1997-02-27",23.53
"CETES_364D","1997-03-06",24.49
"CETES_364D","1997-03-13",24.22
"CETES_364D","1997-03-20",23.96
"CETES_364D","1997-03-26",23.44
"CETES_364D","1997-04-03",23.9
"CETES_364D","1997-04-10",23.94
"CETES_364D","1997-04-17",24.29
"CETES_364D","1997-04-24",23.72
"CETES_364D","1997-04-30",24.35
"CETES_364D","1997-05-08",23.17
"CETES_364D","1997-05-15",23.06
"CETES_364D","1997-05-22",22.74
"CETES_364D","1997-05-29",22.99
"CETES_364D","1997-06-05",22.92
"CETES_364D","1997-06-12",22.96
"CETES_364D","1997-06-19",22.2
"CETES_364D","1997-06-26",22.08
"CETES_364D","1997-07-03",21.16
"CETES_364D","1997-07-10",20.24
"CETES_364D","1997-07-17",20.94
"CETES_364D","1997-07-24",20.83
"CETES_364D","1997-07-31",20.24
"CETES_364D","1997-08-07",20.52
"CETES_364D","1997-08-14",20.84
"CETES_364D","1997-08-21",21.02
"CETES_364D","1997-08-28",22.08
"CETES_364D","1997-09-04",21.31
"CETES_364D","1997-09-11",21.5
"CETES_364D","1997-09-18",21.8
"CETES_364D","1997-09-25",20.01
"CETES_364D","1997-10-02",19.81
"CETES_364D","1997-10-09",19.57
"CETES_364D","1997-10-16",19.41
"CETES_364D","1997-10-23",18.7
"CETES_364D","1997-10-30",22.91
"CETES_364D","1997-11-06",21.36
"CETES_364D","1997-11-13",22.83
"CETES_364D","1997-11-19",21.96
"CETES_364D","1997-11-27",21.78
"CETES_364D","1997-12-04",19.84
"CETES_364D","1997-12-11",20.19
"CETES_364D","1997-12-18",19.9
"CETES_364D","1997-12-24",20.17
"CETES_364D","1997-12-31",19.85
"CETES_364D","1998-01-08",19.21
"CETES_364D","1998-01-15",20.03
"CETES_364D","1998-01-22",20.13
"CETES_364D","1998-01-29",20.19
"CETES_364D","1998-02-04",20.13
"CETES_364D","1998-02-12",20.35
"CETES_364D","1998-02-19",20.45
"CETES_364D","1998-02-26",20.73
"CETES_364D","1998-03-05",20.84
"CETES_364D","1998-03-12",21.09
"CETES_364D","1998-03-19",22.67
"CETES_364D","1998-03-26",20.87
"CETES_364D","1998-04-02",20.83
"CETES_364D","1998-04-08",20.79
"CETES_364D","1998-04-16",20.43
"CETES_364D","1998-04-23",19.95
"CETES_364D","1998-04-30",20.4
"CETES_364D","1998-05-07",20.24
"CETES_364D","1998-05-14",20.33
"CETES_364D","1998-05-21",20.91
"CETES_364D","1998-05-28",22.27
"CETES_364D","1998-06-04",21.93
"CETES_364D","1998-06-11",22.24
"CETES_364D","1998-06-18",24.0
"CETES_364D","1998-06-25",24.48
"CETES_364D","1998-07-02",25.95
"CETES_364D","1998-07-09",24.82
"CETES_364D","1998-07-16",22.91
"CETES_364D","1998-07-23",23.37
"CETES_364D","1998-07-30",24.83
"CETES_364D","1998-08-06",25.7
"CETES_364D","1998-08-13",27.23
"CETES_364D","1998-08-20",27.65
"CETES_364D","1998-08-27",31.0
"CETES_364D","1999-01-14",29.99
"CETES_364D","1999-01-21",31.84
"CETES_364D","1999-01-28",31.71
"CETES_364D","1999-02-04",29.72
"CETES_364D","1999-02-11",28.69
"CETES_364D","1999-02-18",27.31
"CETES_364D","1999-02-25",27.01
"CETES_364D","1999-03-04",26.96
"CETES_364D","1999-03-11",25.8
"CETES_364D","1999-03-18",23.93
"CETES_364D","1999-03-25",24.6
"CETES_364D","1999-03-31",23.69
"CETES_364D","1999-04-08",23.13
"CETES_364D","1999-04-15",23.61
"CETES_364D","1999-04-22",23.38
"CETES_364D","1999-04-29",22.62
"CETES_364D","1999-05-06",22.4
