"a_index","b_date","c_rate"
"CETES_364D","1990-11-15",24.41
"CETES_364D","1990-11-16",24.532
"CETES_364D","1990-11-19",24.654
"CETES_364D","1990-11-20",24.776
"CETES_364D","1990-11-21",24.898
"CETES_364D","1990-11-22",25.02
"CETES_364D","1990-11-23",24.954
"CETES_364D","1990-11-26",24.888
"CETES_364D","1990-11-27",24.822
"CETES_364D","1990-11-28",24.756
"CETES_364D","1990-11-29",24.69
"CETES_364D","1990-11-30",24.88
"CETES_364D","1990-12-03",25.07
"CETES_364D","1990-12-04",25.26
"CETES_364D","1990-12-05",25.45
"CETES_364D","1990-12-06",25.64
"CETES_364D","1990-12-07",25.586
"CETES_364D","1990-12-10",25.532
"CETES_364D","1990-12-11",25.478
"CETES_364D","1990-12-12",25.424
"CETES_364D","1990-12-13",25.37
"CETES_364D","1990-12-14",25.298
"CETES_364D","1990-12-17",25.226
"CETES_364D","1990-12-18",25.154
"CETES_364D","1990-12-19",25.082
"CETES_364D","1990-12-20",25.01
"CETES_364D","1990-12-21",24.91
"CETES_364D","1990-12-24",24.81
"CETES_364D","1990-12-25",24.71
"CETES_364D","1990-12-26",24.61
"CETES_364D","1990-12-27",24.51
"CETES_364D","1990-12-28",24.46
"CETES_364D","1990-12-31",24.41
"CETES_364D","1991-01-01",24.36
"CETES_364D","1991-01-02",24.31
"CETES_364D","1991-01-03",24.26
"CETES_364D","1991-01-04",24.26
"CETES_364D","1991-01-07",24.26
"CETES_364D","1991-01-08",24.26
"CETES_364D","1991-01-09",24.26
"CETES_364D","1991-01-10",24.26
"CETES_364D","1991-01-11",24.346
"CETES_364D","1991-01-14",24.432
"CETES_364D","1991-01-15",24.518
"CETES_364D","1991-01-16",24.604
"CETES_364D","1991-01-17",24.69
"CETES_364D","1991-01-18",24.745
"CETES_364D","1991-01-21",24.8
"CETES_364D","1991-01-22",24.855
"CETES_364D","1991-01-23",24.91
"CETES_364D","1991-01-24",24.965
"CETES_364D","1991-01-25",25.02
"CETES_364D","1991-01-28",25.075
"CETES_364D","1991-01-29",25.13
"CETES_364D","1991-01-30",25.185
"CETES_364D","1991-01-31",25.24
"CETES_364D","1991-02-01",25.185
