"a_index","b_date","c_rate"
"CETES_364D","2012-01-02",0.04796
"CETES_364D","2012-01-03",0.047915
"CETES_364D","2012-01-04",0.04787
"CETES_364D","2012-01-05",0.047825
"CETES_364D","2012-01-06",0.04778
"CETES_364D","2012-01-09",0.047735
"CETES_364D","2012-01-10",0.04769
"CETES_364D","2012-01-11",0.047645
"CETES_364D","2012-01-12",0.0476
"CETES_364D","2012-01-13",0.047625
"CETES_364D","2012-01-16",0.04765
"CETES_364D","2012-01-17",0.047675
"CETES_364D","2012-01-18",0.0477
"CETES_364D","2012-01-19",0.047725
"CETES_364D","2012-01-20",0.04775
"CETES_364D","2012-01-23",0.047775
"CETES_364D","2012-01-24",0.0478
"CETES_364D","2012-01-25",0.047825
"CETES_364D","2012-01-26",0.04785
"CETES_364D","2012-01-27",0.047875
"CETES_364D","2012-01-30",0.0479
"CETES_364D","2012-01-31",0.047925
"CETES_364D","2012-02-01",0.04795
"CETES_364D","2012-02-02",0.047975
"CETES_364D","2012-02-03",0.048
"CETES_364D","2012-02-06",0.048025
"CETES_364D","2012-02-07",0.04805
"CETES_364D","2012-02-08",0.048075
"CETES_364D","2012-02-09",0.0481
"CETES_364D","2012-02-10",0.04807
"CETES_364D","2012-02-13",0.04804
"CETES_364D","2012-02-14",0.04801
"CETES_364D","2012-02-15",0.04798
"CETES_364D","2012-02-16",0.04795
"CETES_364D","2012-02-17",0.04792
"CETES_364D","2012-02-20",0.04789
"CETES_364D","2012-02-21",0.04786
"CETES_364D","2012-02-22",0.04783
"CETES_364D","2012-02-23",0.0478
"CETES_364D","2012-02-24",0.04777
"CETES_364D","2012-02-27",0.04774
"CETES_364D","2012-02-28",0.04771
"CETES_364D","2012-02-29",0.04768
"CETES_364D","2012-03-01",0.04765
"CETES_364D","2012-03-02",0.04762
"CETES_364D","2012-03-05",0.04759
"CETES_364D","2012-03-06",0.04756
"CETES_364D","2012-03-07",0.04753
"CETES_364D","2012-03-08",0.0475
"CETES_364D","2012-03-09",0.047585
"CETES_364D","2012-03-12",0.04767
"CETES_364D","2012-03-13",0.047755
"CETES_364D","2012-03-14",0.04784
"CETES_364D","2012-03-15",0.047925
"CETES_364D","2012-03-16",0.04801
"CETES_364D","2012-03-19",0.048095
"CETES_364D","2012-03-20",0.04818
"CETES_364D","2012-03-21",0.048265
"CETES_364D","2012-03-22",0.04835
"CETES_364D","2012-03-23",0.048435
"CETES_364D","2012-03-26",0.04852
"CETES_364D","2012-03-27",0.048605
"CETES_364D","2012-03-28",0.04869
