"","alpha v BMV - w/ CETES 364D","beta v BMV - w/ CETES 364D","r-squared","standar deviation","Sharpe Ratio - w/ CETES 364D"
"BMV",-3.43605400016196e-18,1,1,0.191690714231397,0.0764375582861496
"ACCIPAT B0-B",0.106694552528114,0.311950610897451,0.322845949911658,0.10424461469531,1.06734883782927
"ACCIPAT C0-B",0.107295487274596,0.313145583594006,0.324287534125994,0.104419714429242,1.0714816917983
"ACTICRE B",0.0193549245784601,0.385134185083982,0.441617709854703,0.112363013686802,0.222475816484576
"ACTICRE FF",0.0509882874517849,0.396247227343702,0.442878292529487,0.115352345900599,0.492354516513231
"ACTINTK FF",-0.361273879532911,-0.119220386139981,0.00984359267725892,0.222942391982724,-1.62831634455252
"ACTIPAT B",0.031188841630045,0.27308982634775,0.412394606585516,0.0817876553207514,0.430263646875467
"ACTIPAT FF",0.0584694919317633,0.241632472800915,0.391963798063068,0.0746218713893444,0.830989349463271
"ACTIVAR B",-0.00124130382474517,0.238056009466704,0.351805333591011,0.0768867431950278,0.0292219548795774
"ACTIVAR FF",0.0173608192436413,0.228020303555175,0.343637581829733,0.0745779215767548,0.27758694119561
"B+RV F",0.0506993097128069,0.261632677650151,0.436125326201466,0.0769486337658991,0.708691576160773
"B+RV GB",0.0464921768582819,0.259565574251045,0.435638078325261,0.076413797820938,0.658198246423781
"B+RV NC",-0.0057032506515441,-0.0723456200904104,0.0619467140684586,0.0534243854765288,-0.126595474986435
"B+RV P",0.0191506884829667,0.262971794498494,0.452789088283,0.0761642903762195,0.302029316353227
"B+RV PV",0.025716423453453,0.255196606120752,0.434800765019322,0.0752115290990193,0.39163754464466
"BMERCRE GB",-0.0025201720952145,0.0512977346028442,0.391644790612854,0.0178569725811236,-0.0990391116038491
"BMERCRE MB",-0.0272519615669508,0.0560937178948052,0.442548039702333,0.0185930408634817,-1.42150258496056
"BMERCRE NC",-0.000772756938942131,0.0529298856750505,0.37899560492265,0.0182284291787665,0.00015313099740043
"BMERIND F",0.0244098791376065,0.248234984120684,0.36726260926204,0.0784094187001873,0.357700777177975
"BMERIND GB",0.020296305611553,0.247242460325014,0.366973632581598,0.0781197233349373,0.306183798840346
"BMERIND MB",-0.0114292017256969,0.238156757959812,0.364167698370777,0.0755136009775625,-0.105141863895695
"BMERIND P",-0.0058875527933398,0.240639776567353,0.366121904267998,0.0761397381489081,-0.0310167827419353
"BMERIND PV",0.000143796475031641,0.242541722142746,0.36703563948693,0.0766419810719223,0.0482451981410757
"BMERPAT B",0.00858337520883243,0.263396299461166,0.432982424140636,0.0772977511147847,0.160971763125257
"BMERPAT GB",0.0351485172680221,0.270627115136547,0.433699863703078,0.0793154901602973,0.493142586024601
"BMERPAT P",0.00855005253124626,0.264577945274799,0.438095636128478,0.0772085895831103,0.160950311149506
"BMERPAT PV",0.014670174092219,0.266399356267223,0.438598213841915,0.0776860841433513,0.239084725026909
"BNMPAT B2-A",0.0373463073565544,0.197330860603908,0.0176193968427755,0.281213418364199,0.143085889715425
"BNMPAT B3-A",0.0195554197044592,0.220351950076713,0.0359952279270922,0.219873374955461,0.103623724532835
"BNMPAT C0-A",0.0471497302847964,0.269361925848015,0.357137513486126,0.0868349910688277,0.588432385326977
"BNMPAT C0-C",0.0686693973974301,0.121039072203102,0.00337797002560141,0.393606393467912,0.178967892427627
"BNMPAT M0-A",-0.143315047387924,0.168764219092703,0.00573469019573979,0.419676994241073,-0.335596788758338
"CRECE+ B-1",-0.0398453729894206,0.27048337047346,0.121753088220524,0.145809773355459,-0.24608878885313
"CRECE+ B-2",-0.0389549742119361,0.102633983421733,0.0219778212111989,0.129488021150411,-0.28922476971204
"CRECE+ B-E",-0.0618279231624591,-0.0305000225352189,0.00336994184234716,0.0974187804885199,-0.639248617871195
"DIVER-A B",0.0050251103243835,0.0416029133626021,0.103423962152371,0.0228978447089855,0.246079562577597
"DIVER-A GB",0.0289766209470533,0.030441404318021,0.0482157764998473,0.0240259554341209,1.22461975555725
"DIVER-C GB",-0.00205541482024553,0.0271469180787385,0.309504934791593,0.0111454710568767,-0.148728404558477
"DIVER-C MB",-0.0248821170542109,0.0370947294669136,0.39643147749068,0.0138252126351261,-1.76044969362044
"DIVER-M B",-0.00891662568399236,0.0429388518512501,0.269272409785907,0.0170749416519776,-0.485358597535032
"DIVER-M GB",0.0161067140962022,0.0358107222509986,0.159703665971282,0.0157111862507338,1.05857226744407
"ELITE-C B1",-0.00955497338856769,0.00543793061627387,0.0121045113452181,0.0082034689256662,-1.15503513236044
