,"alpha v BMV - w/ CETES 364D","beta v BMV - w/ CETES 364D","r-squared","standar deviation","Sharpe Ratio - w/ CETES 364D","pvalues.clust w/sig.=0.05","pvalues.clust w/sig.=0.10","pvalues.clust w/sig.=0.15","pvalues.clust w/sig.=0.25","pvalues.clust w/sig.=0.35","pvalues.clust w/sig.=0.50","pvalues.clust w/sig.=0.65","pvalues.clust w/sig.=0.75","pvalues.clust w/sig.=0.85","pvalues.clust w/sig.=0.95","pvalues.clust w/sig.=1.00"
"BMV",-3.43605400016196E-18,1,1,0.1916907142,0.0764375583,1,1,1,1,1,1,1,1,1,1,1
"ACCIPAT B0-B",0.1066945525,0.3119506109,0.3228459499,0.1042446147,1.0673488378,2,2,2,3,2,4,3,2,2,8,8
"ACCIPAT C0-B",0.1072954873,0.3131455836,0.3242875341,0.1044197144,1.0714816918,1,1,1,1,1,1,1,1,1,3,3
"ACTICRE B",0.0193549246,0.3851341851,0.4416177099,0.1123630137,0.2224758165,1,1,1,1,1,1,1,1,2,8,1
"ACTICRE FF",0.0509882875,0.3962472273,0.4428782925,0.1153523459,0.4923545165,1,1,1,1,1,1,1,2,2,1,2
"ACTINTK FF",-0.3612738795,-0.1192203861,0.0098435927,0.222942392,-1.6283163446,1,1,1,1,1,1,1,1,1,1,1
"ACTIPAT B",0.0311888416,0.2730898263,0.4123946066,0.0817876553,0.4302636469,1,1,2,1,4,13,50,63,24,1,45
"ACTIPAT FF",0.0584694919,0.2416324728,0.3919637981,0.0746218714,0.8309893495,1,1,1,1,1,1,1,1,19,19,8
"ACTIVAR B",-0.0012413038,0.2380560095,0.3518053336,0.0768867432,0.0292219549,2,1,2,2,2,15,3,50,58,70,74
"ACTIVAR FF",0.0173608192,0.2280203036,0.3436375818,0.0745779216,0.2775869412,1,1,1,1,1,1,1,1,1,1,1
"B+RV F",0.0506993097,0.2616326777,0.4361253262,0.0769486338,0.7086915762,1,1,2,7,4,21,26,12,66,83,40
"B+RV GB",0.0464921769,0.2595655743,0.4356380783,0.0764137978,0.6581982464,1,1,1,3,9,6,36,45,53,7,4
"B+RV NC",-0.0057032507,-0.0723456201,0.0619467141,0.0534243855,-0.126595475,1,1,1,1,2,1,3,1,1,1,2
"B+RV P",0.0191506885,0.2629717945,0.4527890883,0.0761642904,0.3020293164,1,1,1,7,14,9,48,56,64,28,29
"B+RV PV",0.0257164235,0.2551966061,0.434800765,0.0752115291,0.3916375446,1,1,1,3,2,11,51,18,17,39,41
"BMERCRE GB",-0.0025201721,0.0512977346,0.3916447906,0.0178569726,-0.0990391116,2,1,2,2,7,8,46,8,13,13,14
"BMERCRE MB",-0.0272519616,0.0560937179,0.4425480397,0.0185930409,-1.421502585,1,1,1,3,2,5,21,29,12,15,4
"BMERCRE NC",-0.0007727569,0.0529298857,0.3789956049,0.0182284292,0.000153131,1,2,3,9,4,24,5,7,10,11,13
