"","pvalues.clust w/sig.=0.05","pvalues.clust w/sig.=0.10","pvalues.clust w/sig.=0.15","pvalues.clust w/sig.=0.25","pvalues.clust w/sig.=0.35","pvalues.clust w/sig.=0.50","pvalues.clust w/sig.=0.65","pvalues.clust w/sig.=0.75","pvalues.clust w/sig.=0.85","pvalues.clust w/sig.=0.95","pvalues.clust w/sig.=1.00"
"BMV",1,1,1,1,1,1,1,1,1,1,1
"ACCIPAT B0-B",2,2,2,3,2,4,3,2,2,8,8
"ACCIPAT C0-B",1,1,1,1,1,1,1,1,1,3,3
"ACTICRE B",1,1,1,1,1,1,1,1,2,8,1
"ACTICRE FF",1,1,1,1,1,1,1,2,2,1,2
"ACTINTK FF",1,1,1,1,1,1,1,1,1,1,1
"ACTIPAT B",1,1,2,1,4,13,50,63,24,1,45
"ACTIPAT FF",1,1,1,1,1,1,1,1,19,19,8
"ACTIVAR B",2,1,2,2,2,15,3,50,58,70,74
"ACTIVAR FF",1,1,1,1,1,1,1,1,1,1,1
"B+RV F",1,1,2,7,4,21,26,12,66,83,40
"B+RV GB",1,1,1,3,9,6,36,45,53,7,4
"B+RV NC",1,1,1,1,2,1,3,1,1,1,2
"B+RV P",1,1,1,7,14,9,48,56,64,28,29
"B+RV PV",1,1,1,3,2,11,51,18,17,39,41
"BMERCRE GB",2,1,2,2,7,8,46,8,13,13,14
"BMERCRE MB",1,1,1,3,2,5,21,29,12,15,4
"BMERCRE NC",1,2,3,9,4,24,5,7,10,11,13
"BMERIND F",1,1,1,7,10,17,47,58,34,18,17
"BMERIND GB",2,2,2,3,17,30,13,20,26,31,32
"BMERIND MB",2,2,4,9,8,21,26,5,5,5,7
"BMERIND P",1,3,6,7,15,7,7,22,9,10,10
"BMERIND PV",3,2,7,4,6,19,43,52,60,72,76
"BMERPAT B",2,2,2,14,11,28,37,46,54,65,69
"BMERPAT GB",1,1,1,7,2,16,21,2,12,23,9
"BMERPAT P",1,1,3,13,5,13,33,42,50,62,66
"BMERPAT PV",1,1,1,9,8,20,27,34,41,52,55
"BNMPAT B2-A",1,1,1,1,1,1,1,1,1,1,1
"BNMPAT B3-A",1,1,1,1,1,1,1,1,1,1,1
"BNMPAT C0-A",1,1,1,3,1,25,50,61,67,8,21
"BNMPAT C0-C",1,1,1,1,1,1,1,1,1,1,1
"BNMPAT M0-A",1,1,1,1,1,1,1,1,1,1,1
"CRECE+ B-1",1,1,1,1,1,1,1,1,1,1,1
"CRECE+ B-2",1,1,1,1,2,4,28,27,6,3,3
"CRECE+ B-E",1,1,1,1,1,1,3,2,2,2,2
"DIVER-A B",1,1,1,1,7,7,47,62,25,41,43
"DIVER-A GB",1,1,1,3,3,2,1,61,5,5,88
"DIVER-C GB",1,1,1,1,1,1,1,1,1,1,1
"DIVER-C MB",1,1,1,1,1,1,3,2,6,3,3
"DIVER-M B",1,1,1,3,2,5,6,3,3,6,15
"DIVER-M GB",1,1,1,3,2,4,51,63,68,81,8
"ELITE-C B1",1,1,1,1,1,1,3,2,2,2,2
"ELITE-M B1",1,1,1,1,2,4,28,27,6,3,3
"FONBNM B3-A",1,1,1,5,12,14,12,56,64,14,80
"FONBNM C0-A",1,1,2,3,1,4,24,29,39,77,83
"FONBNM C0-C",1,2,2,1,13,18,20,28,35,51,54
"FONBNM C0-D",1,8,3,13,19,27,36,44,20,25,24
"FONBNM C1-A",1,8,1,2,20,34,45,23,29,34,35
"FONBNM C3-A",5,7,3,8,11,11,48,9,11,12,34
"FONBNM M0-A",2,2,1,9,3,5,2,62,70,16,87
"FONDOM2 B",1,1,1,1,1,1,1,1,1,1,1
"FONIBUR B",1,1,1,1,1,1,1,1,2,2,2
"GBMAAA BO",1,1,1,1,1,1,24,12,66,77,83
"GBMAGR B",1,1,1,1,1,1,1,1,1,1,1
"GBMCRE BD",1,1,1,1,1,1,1,1,1,1,1
"GBMCRE BO",1,1,1,1,1,1,1,1,1,2,2
"GBMINF BO",1,1,1,1,1,1,1,1,1,1,1
"GBMIPC BO",5,5,3,6,17,5,40,48,57,68,72
"GBMMOD BO",1,1,1,1,1,4,3,2,2,1,1
"GBMPAGR B",1,1,1,1,1,1,36,45,3,80,86
"GBMPCON B",1,1,1,7,3,5,11,58,4,4,5
"GBMPMOD B",1,1,1,1,1,2,2,64,65,79,10
"GBMV1 BO",1,1,1,1,1,1,1,1,1,1,1
"GOLD3+ B1-C",1,1,1,1,2,16,4,45,66,80,4
"HSBC-F2 BFP",2,2,2,10,14,13,2,18,24,29,30
"HSBC-F2 BFV",1,1,1,14,6,9,22,30,17,22,12
"HSBC-F3 BFA",1,1,9,5,15,17,10,13,34,43,46
"HSBC-F3 BFP",1,8,1,9,13,8,9,11,15,51,54
"HSBC-F3 BFS",2,2,3,13,8,24,8,10,14,20,19
"HSBC-F3 BFV",2,3,4,6,10,18,20,28,35,44,47
"HSBC-RV BFA",1,1,1,1,15,7,17,27,33,17,16
"HSBC-RV BFP",1,1,1,2,11,5,18,26,8,19,39
"HSBC-RV BFS",1,1,1,2,13,3,4,4,45,56,60
"HSBC-RV BFV",1,2,2,4,12,10,3,57,18,24,22
"HSBC-RV BNF",1,1,1,1,1,1,1,1,1,1,1
"HSBCBOL BFA",1,1,2,3,4,21,1,2,43,54,58
"HSBCBOL BFP",1,2,9,7,3,6,31,40,48,60,64
"HSBCBOL BFS",1,1,2,1,9,25,6,6,67,16,57
"HSBCBOL BFV",1,1,1,1,10,1,28,35,42,53,56
"HSBCBOL BNF",1,1,4,10,8,26,35,14,16,21,20
